ContentType,Sentiment,,Sentiment,,,ContentType,Count,Positive score,Negative score,Neutral
photo,negative,,negative,,,photo,6589,3700,2057,832
photo,negative,,positive,,,video,6245,3510,1943,792
photo,negative,,neutral,,,GIF,6079,3381,1924,774
photo,negative,,,,,audio,5660,3216,1771,673
photo,positive,,,,,,,,,
photo,neutral,,,,,,,,,
photo,positive,,,,,,,,,
photo,negative,,,,,,,,,
photo,neutral,,,,,,,,,
photo,positive,,,,,,,,,
photo,neutral,,,,,,,,,
photo,negative,,,,,,,,,
photo,positive,,,,,,,,,
photo,negative,,,,,,,,,
photo,negative,,,,,,,,,
photo,positive,,,,,,,,,
photo,neutral,,,,,,,,,
photo,neutral,,,,,,,,,
photo,positive,,,,,,,,,
photo,positive,,,,,,,,,
photo,neutral,,,,,,,,,
photo,negative,,,,,,,,,
photo,positive,,,,,,,,,
photo,positive,,,,,,,,,
photo,negative,,,,,,,,,
photo,negative,,,,,,,,,
photo,negative,,,,,,,,,
photo,positive,,,,,,,,,
photo,positive,,,,,,,,,
photo,positive,,,,,,,,,
photo,negative,,,,,,,,,
photo,positive,,,,,,,,,
photo,neutral,,,,,,,,,
photo,positive,,,,,,,,,
photo,negative,,,,,,,,,
photo,positive,,,,,,,,,
photo,positive,,,,,,,,,
photo,negative,,,,,,,,,
photo,negative,,,,,,,,,
photo,negative,,,,,,,,,
photo,positive,,,,,,,,,
photo,positive,,,,,,,,,
photo,neutral,,,,,,,,,
photo,negative,,,,,,,,,
photo,negative,,,,,,,,,
photo,negative,,,,,,,,,
photo,positive,,,,,,,,,
photo,neutral,,,,,,,,,
photo,negative,,,,,,,,,
photo,negative,,,,,,,,,
photo,negative,,,,,,,,,
photo,negative,,,,,,,,,
photo,positive,,,,,,,,,
photo,positive,,,,,,,,,
photo,positive,,,,,,,,,
photo,positive,,,,,,,,,
photo,neutral,,,,,,,,,
photo,neutral,,,,,,,,,
photo,positive,,,,,,,,,
photo,positive,,,,,,,,,
photo,negative,,,,,,,,,
photo,positive,,,,,,,,,
photo,positive,,,,,,,,,
photo,negative,,,,,,,,,
photo,positive,,,,,,,,,
photo,positive,,,,,,,,,
photo,positive,,,,,,,,,
photo,positive,,,,,,,,,
photo,positive,,,,,,,,,
photo,positive,,,,,,,,,
photo,negative,,,,,,,,,
photo,positive,,,,,,,,,
photo,negative,,,,,,,,,
photo,neutral,,,,,,,,,
photo,positive,,,,,,,,,
photo,positive,,,,,,,,,
photo,positive,,,,,,,,,
photo,negative,,,,,,,,,
photo,negative,,,,,,,,,
photo,negative,,,,,,,,,
photo,negative,,,,,,,,,
photo,positive,,,,,,,,,
